"ID","LV"
"AMPT_0001_I_0001_1","Šis tests noverte tavas spejas uztvert intonativi neprecizas skanas muzikas kompozicija.\\Tu dzirdesi vairakus muzikas fragmentus.\\Dažos no tiem vokalists dziedas taja paša tonalitate (tonali precizi) ka dziesmas pavadijums, bet dažos - cita tonalitate (tonali neprecizi).\\ Tev ir janosaka, vai vokalists ir taja paša tonalitate vai cita.\\Spied 'Turpinat', lai noklausitos dažus piemerus."
"AMPT_0002_I_0001_1","**Piemers - taja paša tonalitate**\\Šaja piemera vokalists dziedaja tonali precizi."
"AMPT_0003_I_0001_1","**Piemers - cita tonalitate**\\Šaja piemera vokalists dziedaja tonali neprecizi."
"AMPT_0004_I_0001_1","Testa viens pec otra skanes viena muzikas fragmenta divi varianti.\\Viena varianta vokalists dziedas taja paša tonalitate, bet otraja varianta vokalists dziedas cita tonalitate.\\Tev ir janosaka, kurš variants skaneja tonali neprecizi.\\Spied 'Talak', lai izmeginatu dažus piemerus."
"AMPT_0005_I_0001_1","**Piemers 1/2**\\\\Kurš variants bija tonali neprecizs?"
"AMPT_0005_R_0001_1","Pirmais"
"AMPT_0005_R_0002_1","Otrais"
"AMPT_0006_I_0001_1","**Nepareizi!"
"AMPT_0007_I_0001_1","**Pareizi!**"
"AMPT_0008_I_0001_1","**Piemers 2/2**\\\\Kurš variants bija tonali neprecizs?"
"AMPT_0009_I_0001_1","**Pareizi!**"
"AMPT_0010_I_0001_1","Spied 'Atgriezties atpakal', lai izlasitu instrukcijas un velreiz izmeginatu piemerus, vai spied 'Talak', lai saktu testu."
"AMPT_0011_I_0001_1","**Tagad tu pariesi pie galvena testa. Tavi rezultati tiks saglabati.**\\Veiksmi!"
"AMPT_0012_I_0001_1","**Jautajums {{num_question}} no {{test_length}}**"
"AMPT_0013_I_0001_1","Kurš variants bija tonali neprecizs? \\ Ja nezini, tad megini uzminet!"
"AMPT_0014_I_0001_1","Tu esi pabeidzis labskanibas uztveres testu! \\ Tavi rezultati salidzinajuma ar citiem testa dalibniekiem ir redzami zemak:"
"AMPT_0015_I_0001_1","Turpinat"
"AMPT_0016_I_0001_1","Atgriezties atpakal"
"AMPT_0017_I_0001_1","Tu esi pabeidzis labskanibas uztveres testu!"
"enter_p_id","Ludzu, ievadi savu dalibnieka ID numuru."
"results_have_been_saved","Tavi rezultati ir saglabati."
"you_may_close_browser","Tagad tu vari aizvert parlukprogrammas logu."
"demo_intro","Esi sveicinats skanu uztveres testa!\\Tests pielagojas tavam sniegumam. Ja sniegums bus veiksmigs, tev tiks doti sarežgitaki uzdevumi.\\Parasti šis pielagošanas process dalibniekam netiek radits. Tomer, lai to tev paraditu, mes nodemonstresim tava snieguma rezultatus un atbilstošo grutibas pakapi katra izmeginajuma reize."
"click_here_to_play","Spied te, lai klausitos"
